,phrase
116,"С: *в который раз стирает неправильную запись на доске пальцами* П: Только что звонили из РайОНО, Вам разрешили пользоваться тряпкой, лежащей на этом столе #Соболев #ФН"
117,"А кто это тряпку намочил? Уборщица? Ну не знает, что мелом по сухой доске надо рисовать, а тряпку - выжимать! *выжимает тряпку в угол аудитории*"
118,""" ""Равно"" у вас какое-то пьяное"" #Марченко #ФН1"
119,"С: - а если у нас проблемы с математикой на экзамене по физике, вы нам поможете? П: - ахахахах нет, я буду глумиться и потешаться над вами)) #ФН4 #Ивлие"
120,"У вас z от t не зависит, значит x и y - константы. Производная константы - ноль. У вас тут написано 0+ Я же говорил, что это задачка для дошкольников... "
121,"*смотрит на доску, где студент написал что-то явно невразумительное*"
122,"— Слышите, звенит что-то? — Да — Ну хорошо, что хоть не я одна слышу. Подумала, что началось уже"
123,"Лотерея - это налог, действующий на людей, которые не знают теорию вероятности #ФН2 #Журавски"
124,"Видите этот стул!? Я нашел его 28 лет назад на свалке! Теперь ношу его всегда с собой. Если я его утром не нахожу, мне очень плохо."
125,Только не надо никого отправлять лесом. У нас так не говорят. У нас отправляют в Мытищинский филиал
126,"Это как в том анекдоте: У меня есть мнение на этот счёт, но я с ним категорически не согласен!"
127,Вся информатика – это обман!  #Толпинска
128,"... Этот термин был мной придуман, что называется, с похмелья #СГН2 #Красниковски"
129,Я хочу уронить фейсбук!
130,"Я старый, глупый человек, много чего не понимаю. А вы молодые - вы, наверное, понимаете, чего человеку не хватает."
131,Жизнь — штука квадратная. Чем дальше катится — тем больше гремит
132,"-Объясните,пожалуйста - С какого момента объяснить? -Вы уже стёрли этот момент…  #Чуев Василий #э"
133,"« Я сейчас все сотру, чтобы написать это ещё раз»  #Сдобников #СМ"
134,"Так, на выходных не расслабляемся. Неважно на каком пляже вы лежите"
135,"Бегут 3 поросёнка: ниф-ниф, наф-наф и завкаф."
136,"После бутылки портвейна в 2 часа ночи вы должны с ходу отвечать, что такое полнота системы функций."
137,"Надо легче, мягче, а ты чего - пришёл с топором и вырубил всё!"
138,Никто не пишет t' = t... А я вот написала. 
139,"Я бы пошутил, но нельзя"
140,*Начинает читать вслух условие*
141,"С: На этой неделе я не готов сдать исправленное дз П: Да ради бога, у нас времени ещё много! Хоть после армии можно!"
142,"Решить задачу на рк - это необходимое, но не достаточное условие для получения зачёта... Это значит, что если вы не решите задачу - будет 2, а если решите - то это не значит, что у вас 3))"
143,"Помните, как я на лекции прибивал муху к доске?  #Барышников #ФН"
144,Хакни систему и выиграй 100 000 рублей на хакатоне OVision Hack!
145,Звучит сигналка. 
146,"Значит добавляем вот этот визуальный компонент... На нём циферка ""Эф"" нарисована"
147,Про задачу из типаря:
148,"студент на первой парте говорит слово ""домашка""    П: Домашки для мамашки, а для меня - типовой расчёт!    #ФН3 #Барышнико"
149,"- Давайте позовём к доске кого-нибудь умного. Дима, вперёд. - Вы не ошиблись с выбором? - С первым апреля :)"
150,"Такое чувство, будто я собираю по инструкции из икеи"
151,От импотенции ученых возникла квантовая физика
152,"(на семенаре по Си) Господа, вас Питон покусал, что ли? #ИУ7 #Кострицки"
153,"*разговор о решении диффура* У нас тут должна была получиться парабола, а получился логарифм. Не совсем парабола, конечно, но что-то вполне параболообразное "
154,While (True) { П: *неразборчивый бубнеж* ... ЯСНО!? }
155,"Главная проблема вашего поколения - безработица. На работу-то вас примут, но она будет для творческого мусора."
156,"Это не один, это единица #ФН4 #Садовнико"
157,"С: *приносит эскиз на проверку* П: Ну что это такое! Как ты букву М пишешь! У нас тут вообще-то Бауманский университет, а не заборостроительный #РК1 #Куропаткин"
158,П: *делает замечание по оформлению* С: мне просто так удобно... П: вам так не удобно.
159,Нарушение правил - вещь творческая
160,"""По поводу срока сдачи дз - сложный вопрос. Ну, летом 2023 года вас отчислят - до этого времени можете пытаться сдать"" #Иванов #РЛ"
161,"На следующей лекции я расскажу, как хорошо живется людям в линейном пространстве.  #ФН11 #Прозоровски"
162,"П: Максимов здесь? С: Да, я здесь. П: Ты кто такой? С: Александр Максимов. П: Поздравляю."
163,"Так, убираем телефоны. А то я сейчас тоже винцо достану и шашлычок #Барышников #ФН"
164,"П: Обведи эту формулу красным маркером! С: Или кровью П: Нет, кровью не надо, мы же не сатанисты какие-то"
165,"Друзья, я заметил, что тут не столовая. Тут вам не там!"
166,"Моё обучение в МГТУ - это фокус, который невозможно повторить  #ФН5 #Болдырев В. С"
167,Если с вами кто-то спорит по каким-то вопросам - не спорьте  #Пожалостин #фн
168,"П:*пишет проекции на ось* Тут чёрточки не надо, обязательно не надо #Пожалостин #фн"
169,"С: Давайте отмерим 1/√26 на линейке П: Великолепный план, надёжный, как швейцарские часы"
170,Это восьмерка с неприличными начальными условиями #Алиев #ФН
171,"""Считаем интеграл по кракозябре"" #Яковлев #ФН"
172,Следующий ход будет конём: за дверь. 
173,"Есть такой вопрос застольный: ""Ты меня уважаешь?"". И глядя на ваши векторы, я им задаюсь.. "
174,а лекцию пришло всего два человека
175,Вы распространяете фЕйки!  #Никандров #ФН
176,Тормоз - тоже механизм #Мурашкина #РК
177,"Студент всю лекцию внимательно слушал и отмечал, если что-то не так написано П: так, здесь вообще-то ошибка, вы же за мной следите(показывает на студента), почему не сказали, что неправильно С: я же тоже могу ошибаться П: нельзя вам ошибаться, вы же за мной следите, а не я за вами #Лукин #фн"
178,"П:Магией можно назвать любой предмет, который не понимает большинство людей С:Так ангем это магия П:Нет, это древнее зло"
179,"С: А можете объяснить в чём смысл линала? П: Так, давайте конкретные вопросы. О смысле линала и о смысле жизни поговорим потом"
180,Отлично. Мы уже почти достигли дна.
181,"""Ваша партия в шахматы закончится матом с моей стороны."""
182,Эта запись чудовищна. Она просто аморальна  #Шумилов #ФН
183,"Это вам легко, вы сидите. А я вот у доски хожу, на меня Кориолис действует! #Барышников #ФН"
184,"П: Какие вопросы? С: Много вопросов... П: Отлично, идём дальше #Корсакова #ФН"
185,"Тинькофф приглашает на летние стажировки    Направлений будет много: аналитика, разработка (Java, Scala, Python, .net и другие, frontend), SRE, QA, маркетинг. Ждем студентов, магистрантов и выпускников, готовых посвятить оплачиваемой стажировке 40 часов в неделю.  Чтобы принять участие, оставьте заявку на сайте не позднее 21 марта, заполните анкету и решите отборочные испытания. Успешных кандидатов позовем на интервью. Вам понадобится эта ссылка: https://vk.tinkoff.ru/start-summer-2"
186,"С: *стоит у доски, готовится писать формулу* П: с учётом направления действия силы, у вас перед формулой будет стоять минус* С: *успевает поставить только этот самый минус* П: неправильно!"
187,С: А нулевой год существовал? Или был 1г до н.э. и сразу 1г н.э.?  П: В нулевой год был большой взрыв. 
188,"П:Все, кому я не вернул тетради, получили зачёт по дз. На ма-кси-мальный балл. Студенты:Ураа П: Накрывайте на стол. #Попов #С"
189,Лекция по ООП:
190,"Это буква ""хи"", как русская ""х"". Собственно, от русского алфавита и произошел греческий #Леванков #ФН"
191,"П: Рюмку себе представляете? Предоставляете, что будет, если по ней тюкнуть, например, другой рюмкой?  С: *нервно посмеиваются* П: ну вы же взрослые! Чокались когда-нибудь?  #Соловьев #СМ"
192,"*препод заходит в аудиторию и с порога спрашивает* П: Вопрос к девушкам, есть ли у кого-то второе гражданство в стране ЕС? Студент: А парни вас не интересуют? П: Нет, я интересуюсь исключительно девушками Все тот же студент: А зачем? Что б расписаться? П: Ну да, можно и так сказать. Я просто решил, что иметь второе гражданство в такое время- это совсем неплохо. Желательно, конечно, Франция или Германия, но Румыния или Болгария меня тоже вполне устроят. Тихий шёпот с задней парты: -Блин, такой шанс упустили! Выйти замуж за *Имя препода*! #ФН1 #ФамилиюНеСкажуМнеЕщеРКПисат"
193,"П*видит студента с длинными волосами* П:Эх, какие роскошные волосы, а вот меня всегда стригут коротко, прошу лишь бы не под ерша *дружный смех в аудитории* П:Ой, то есть под ежа, вы меня за ерша не держите  #Пожалостин #ФН"
194,Студенты-бауманцы должны работать на всю длину своего инструмента #Самойлов #МТ1
195,"«Вы видели конец Макдональдса, я видела его начало»  #Готальска"
196,П: «каждый из вас лично должен быть для себя Шерлоком Холмсом»
197,"П: Молодой человек, как Ваша фамилия?  С: *называет фамилию* П: Правильно! Идите к доске #Соболев #ФН"
198,"Давайте вместе разберёмся, для чего я весь этот бред сейчас пишу #Гордеев"
199,На этом можно сегодняшнюю лекцию закончить... но я не буду этого делать.
200,"*трясет тряпкой около нашей парты* – Ну, потому что вы разговариваете, я буду приносить вам пыль."
201,"У кого-то горит дача: «Не рядом с нами, но вообще-то неприятно»."
202,"""Чёрный квадрат"" – удивительная картина. Прошла сотня лет, а у народа все ещё бомбит. "
203,"Словарь — это наше всё, мы ему молимся, мы ему верим, но не всегда доверяем."
204,*обсуждение картины Яна ван Эйка «Портрет четы Арнольфини»*
205,Чем ближе — тем ближе.
206,"Пересказывать себя – определённый грех, поэтому посмотрите сами в моем учебнике. "
207,"Давайте поговорим о чём-то менее драматичном и пессимистичном, чем реальная жизнь."
208,*прошло 40 минут пары*
209,"У греков все буквы не русские. Странно, почему?"
210,"…Радищев стал изучать разные языки. Свободное время всё равно оставалось – опять стыдно! Его ведь послали учиться! Тогда он договорился, чтобы его поздним вечером пускали в библиотеку. А поскольку поздний вечер кончается очень быстро, остаётся ночь. Но спать ночью — это преступление, уважаемые студенты!"
211,*резко началась метель*
212,"– Итак, о чём я обещал вам рассказать в прошлый раз? *молчание* – Правильно! Да! Настоящие студенты не помнят, что было на прошлой паре."
213,Думать в морге будете. Там всё равно делать больше нечего.
214,"Кто там болтает постоянно? Чтоб у вас такие болтливые ученики всегда в школе были! Это не проклятье, а пожелание. Но его легко снять – просто не идите работать в школу. "
215,Заходишь домой – ты человек. Заходишь в Казанский Федеральный – ты не человек. Ты преподаватель.
